,MSE,RMSE,MAE,Pearson,Spearman,CI,R2
mean,0.18119843,0.4256697913884432,0.32366687,0.548726817833944,0.21048093715106816,0.5744027311784441,0.2975595712661743
std,0.0017145671,0.0020178980053668985,0.002756907,0.0050733037911497424,0.01968315228842866,0.011428730419785312,0.006646754192718902
