,MSE,RMSE,MAE,Pearson,Spearman,CI,R2
mean,0.19414021,0.440598054442941,0.33780152,0.5041224305023608,0.15482156394381003,0.529310405676936,0.2473890781402588
std,0.0034361768,0.0038804005762552982,0.0041905325,0.012220329223932548,0.013255488583860794,0.0048890827353040515,0.01332079836413741
