,MSE,RMSE,MAE,Pearson,Spearman,CI,R2
mean,0.18834953,0.4339840805981451,0.33166906,0.5243656344160157,0.1385136983412172,0.5332342394910332,0.26983740329742434
std,0.0024744966,0.002856747951568608,0.004438105,0.007755056646859111,0.02473688824627019,0.011766612201651191,0.009592726605799162
