,MSE,RMSE,MAE,Pearson,Spearman,CI,R2
mean,0.18681279,0.43220993694850457,0.3295667,0.5307770604759432,0.1686718583167805,0.5363132855549648,0.27579485774040224
std,0.0024713883,0.0028559430507831113,0.0034532272,0.010746231433941052,0.043563671519064026,0.017032185478568843,0.009580675740993107
