,MSE,RMSE,MAE,Pearson,Spearman,CI,R2
mean,0.17508158,0.41841652015372677,0.3198063,0.5702669059380266,0.2459609905461429,0.5894575053291861,0.3212723970413208
std,0.0026699593,0.0031966196989972307,0.0046661897,0.009290370691431194,0.019256362330341316,0.007190126138845314,0.010350450512013854
