compound_iso_smiles,affinity
Fc1ccc(C(Nc2ccccn2)c2c[nH]c3ccccc23)cc1,4.899998417
COc1ccc(C(O)c2nc(-c3ccc(OC)nc3)cs2)cc1,4.800000875
Cn1c(SCC(=O)N/N=C/c2ccc([N+](=O)[O-])s2)nnc1-c1ccccc1,5
Cc1cccc(C)c1NC(=S)NC(=O)CCc1ccccc1,4.650000221
Cc1ccc(S(=O)(=O)NCCSc2nnnn2-c2cc(C)ccc2C)cc1,4.899998417
COc1cc(C)c(Cl)cc1S(=O)(=O)n1cnc(C)c1,4.450000476
CC(C)CCN=C(S)Nc1ccc(Br)cc1,4.800000875
O=C(O)c1ccc(NC2=C/C(=N/S(=O)(=O)c3ccccc3)c3ccccc3C2=O)cc1,4.949999402
CC1CC(C)CN(CC(O)COC2CC(C)CC(C)(C)C2)C1.Cl,4.450000476
CCCCOC(=O)Nc1ccc(S(=O)(=O)Nc2onc(C)c2C)cc1,5.250001023
CC(O)(c1cccc(F)c1)c1nc(-c2ccc(Cl)cc2)cs1,4.949999402
O=C(COC(=O)c1ccc(Oc2ccccc2)cc1)Nc1nnc(-c2ccccc2)o1,4.650000221
COc1cc2c(NC3CCN(C)CC3)nc(N3CCCN(C)CC3)nc2cc1OCC1CCCNC1,4.650000221
C(=N/N1CCN(Cc2cccc3ccccc23)CC1)\c1cccnc1,4.749999856
O=C1C(=O)N(Cc2cccs2)c2ccccc21,4.949999402
CCCCCCCCCCOC(=O)Cn1c(COc2ccc(Cl)cc2)[n+](C)c2ccccc21.[Cl-],4.499999679
O=C(Nc1ccc(-c2nc3cccnc3s2)cc1)c1cccnc1Cl,5.250001023
O=S(=O)(Nc1c(O)ccc2ccccc12)c1cccc2ccccc12,4.700000504
O=C(O)CCC(=O)/C=C/c1ccccc1,4.749999856
Oc1ccc(C[C@H]2CNC(=S)N2CC2CCCN2C[C@H](Cc2ccc(O)cc2)N2C[C@H](Cc3ccc(O)cc3)N(CC3CCCCC3)C2=S)cc1,4.700000504
CC1(Cc2ccccc2F)C(=O)Nc2c(Cl)ccc(Cl)c21,4.949999402
CCN(CC)S(=O)(=O)c1ccc(C(=O)OCn2nnc3ccccc3c2=O)cc1,5.499996932
COc1ccc(OC(F)(F)F)cc1CC1(C)C(=O)Nc2ccc(-c3ccsc3)cc21,4.450000476
COc1ccc(CN2C(=O)c3ccccc3C2=O)cc1C(=O)Nc1ccccc1N1CCOCC1,5.250001023
CN(C)/C=C/C(=O)c1cccc(Cl)c1,4.450000476
NC(=O)NN=C1C2CCCC1C(c1ccccc1)NC2c1ccccc1,4.450000476
O=C(NCCc1c[nH]c2ccc(Cl)cc12)c1cccc(CNCc2ccccc2)c1,7.026872146
CCOC(=O)C1=C(O)c2ccccc2C(=O)/C1=C\c1ccc(CC)cc1,4.450000476
Cc1nc2scc(C)n2c(=O)c1S(=O)(=O)Nc1ccc(OC(F)(F)F)cc1,5.250001023
COC(=O)c1ccc2nc(-c3ccco3)c(Cc3ccc(OC)cc3C)n2c1,4.899998417
Cc1nc2ccc(S(=O)(=O)Nc3cccc(-c4nc5cccnc5s4)c3)cc2s1,4.450000476
O=C(O)CCSc1ncnc2sc(-c3ccccc3)cc12,5.199998172
COc1ccc(Cl)cc1NS(=O)(=O)c1ccc(S(=O)(=O)N2CCCC2)cc1,4.949999402
CC(=NNc1nc2ccccc2o1)c1ncccn1,5.499996932
O=Nc1ccc(NOC(=O)c2ccccc2Br)cc1,4.899998417
NC(=O)Nc1ccc(/C=C/c2ccnc3ccccc23)cc1,4.499999679
c1ccc(COc2cccc(-c3cc4nc(NCc5ccc6c(c5)OCO6)ccn4n3)c2)cc1,4.949999402
N=C(NOC(=O)CCC1CCCC1)c1ccc(Cl)cc1,4.800000875
Cc1nnc(NC(=O)c2ccc(S(=O)(=O)N3CCCCCC3)cc2)o1,4.499999679
COc1ccc(-c2cn3c(C)c(C(=O)N4CCCc5ccccc54)sc3n2)cc1,4.700000504
O=S(=O)(c1ccc(F)c(F)c1)N1CCN(CCc2ccccc2)CC1,6
NC(=S)NN=C1CSSC1,5.54999737
O=C(Cc1c[nH]c2ccccc12)N1CCc2ccccc21,4.749999856
CN(C)C(CNC(=O)c1cccc(S(=O)(=O)Nc2ccc(Br)cc2)c1)c1ccco1,4.450000476
Cc1nn(Cc2ccc(F)cc2)c(C)c1NC(=O)c1cc(-c2ccc3c(c2)OCO3)on1,4.949999402
CCCCCC[n+]1c(-c2ccc(Cl)cc2Cl)csc1Nc1ccccc1.[Cl-],4.650000221
CC(=O)c1ccc(NC(=O)c2ccc([N+](=O)[O-])o2)cc1,4.949999402
CN(C)S(=O)(=O)c1ccc(Cl)c(NC(=O)COC(=O)/C=C/c2cnc3ccccc3n2)c1,4.650000221
CCO/C(O)=C1/C(C)=Nc2nc(S)nn2C1c1ccc(Cl)cc1,4.550000452
O=C(NCCc1c[nH]c2ccc(Cl)cc12)c1cccc(Cc2ccc(C(F)(F)F)cc2)c1,6.987162775
CCCOc1ccc(N2C(=O)CC(N3CCOCC3)C2=O)cc1,4.700000504
O=C(c1ccco1)N1CCN(C(=O)c2nc(C(F)(F)F)[nH]c2-c2ccccc2)CC1,5.250001023
COc1cc(C(O)c2nc(-c3cccc(C#N)c3)cs2)ccc1F,4.450000476
CCC(C)(C)n1nnnc1CN(Cc1ccc(Cl)cc1)Cc1ccco1,4.499999679
OC(c1ccccc1)(c1ccccc1)C1CCN(C(S)=NCCc2ccccc2)CC1,4.749999856
Cc1ccc(-n2sc3cc(F)ccc3c2=O)c(C)c1,4.599999383
Cc1cc2c(cc(C(=O)O)n2C)s1,4.949999402
Cn1c(SCc2ccc(C(C)(C)C)cc2)nnc1C1COc2ccccc2O1,4.800000875
Clc1ccc(OCc2n[nH]c(-c3ccccn3)n2)cc1,4.499999679
O=C(c1csc2c1CCCC2)N1CCN(c2ccccc2)CC1,4.550000452
Cc1ccc(-n2nnnc2SCC(=O)Nc2sc(C)c(C)c2C#N)cc1C,4.949999402
COC(=O)CC1CC2(C(=O)OC)c3[nH]c4ccccc4c3CCN2C1=O,4.450000476
C=CCN1CCN(C(c2ccccc2)c2nnnn2CCC(C)C)CC1.Cl,4.599999383
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(O)nn3C)CS[C@H]12)c1csc(N)n1,6.27572413
COc1ccccc1-c1csc(C(O)c2ccc(F)c(F)c2)n1,4.450000476
CC(C)C1C(=O)N(Cc2cn(Cc3ccco3)nn2)CCS(=O)(=O)N1Cc1ccc(-c2ccc(Cl)cc2)cc1,4.450000476
Cc1ccc(Oc2ccc(-c3nc(N)nc(N)n3)cc2)cc1C,5.199998172
O=[N+]([O-])c1ccc(S(=O)(=O)c2ccccc2)nc1,4.899998417
O=c1c(/C=N/O)coc2ccc(Cl)cc12,4.800000875
Cc1[nH]c2ccccc2c1C(=O)C(=O)N1CCN(c2cccc(Cl)c2)CC1,4.599999383
O=C1CC[C@@H](OCc2ccccc2)CCN1CC[C@H](Sc1ccccc1)c1ccccc1,4.599999383
COc1ccc(OC)c(NC(=O)c2ccc(NS(C)(=O)=O)cc2)c1,5.250001023
CC(C)(c1ccccc1)c1ccc(OCCn2cnc3ccccc3c2=O)cc1.O=C(O)C(=O)O,4.499999679
O=C(Nc1nnc(-c2cccs2)o1)c1cc(-c2ccccc2)nc2ccccc12,5.250001023
